"_id","id","artists","metascore","release_date","sort_no","summary","title","user_score","Unnamed: 0","track_id","album_name","track_name","popularity","duration_ms","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","track_genre"
"ObjectId(""67ffc98fcede12a7f9353512"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91443,"7mntHnF2frXuZwFAp8ouCB","Alternative Christmas 2022","We Wish You A Merry Christmas",0,84973,false,0.387,0.786,11,-4.127,1,0.0436,0.0195,0,0.123,0.462,149.806,3,"rock"
"ObjectId(""67ffc98fcede12a7f9353513"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91444,"1wmOubz5LefeGM4KDAcsfz","Christmas Rock 2022","O Come All Ye Faithful",0,124653,false,0.516,0.818,11,-6.076,1,0.0393,0.00701,0,0.337,0.769,121.907,4,"rock"
"ObjectId(""67ffc98fcede12a7f9353514"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91447,"22rUY52RY8r6fi66gtEono","Alternative Christmas 2022","We Wish You A Merry Christmas",0,84973,false,0.387,0.786,11,-4.127,1,0.0436,0.0195,0,0.123,0.462,149.806,3,"rock"
"ObjectId(""67ffc98fcede12a7f9353515"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79103,"4IoYz8XqqdowINzfRrFnhi","The Fray","You Found Me",74,241853,false,0.338,0.803,8,-5.412,0,0.0413,0.0187,0,0.136,0.4,151.994,4,"piano"
"ObjectId(""67ffc98fcede12a7f9353516"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79053,"5fVZC9GiM4e8vu99W0Xf6J","How To Save A Life","How to Save a Life",80,262533,false,0.64,0.743,10,-4.08,1,0.0379,0.269,0,0.101,0.361,122.035,4,"piano"
"ObjectId(""67ffc98fcede12a7f9353517"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79058,"57uX2vR9j9DNiANDYfXw1i","The Fray","Never Say Never",68,256613,false,0.23,0.492,8,-5.767,1,0.0317,0.568,0.00000818,0.176,0.262,160.139,4,"piano"
"ObjectId(""67ffc98fcede12a7f9353518"")",6433,"Weezer",56,"November 2, 2010",12911,"This collection of unreleased songs recorded by the band during the past 15 years was released the same day as the rerelease of 1996's Pinkerton.","Death to False Metal","5",91449,"3v8CoiN19zAzkTG0E7TBTN","Christmas Rock 2022","We Wish You A Merry Christmas",0,84973,false,0.387,0.786,11,-4.127,1,0.0436,0.0195,0,0.123,0.462,149.806,3,"rock"
"ObjectId(""67ffc98fcede12a7f9353519"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79283,"3URt4lJQlANOstDBAWQJA7","Scars & Stories","Be Still",56,168853,false,0.361,0.149,7,-12.066,1,0.0333,0.887,0,0.175,0.302,107.607,3,"piano"
"ObjectId(""67ffc98fcede12a7f935351a"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79107,"5l6hpyTGBK0LAAxgPnqTQL","How To Save A Life","Look After You",71,266773,false,0.447,0.592,6,-3.015,0,0.0319,0.0575,0.00000447,0.13,0.283,78.039,4,"piano"
"ObjectId(""67ffc98fcede12a7f935351b"")",4112,"The Fray",56,"February 3, 2009",12912,"The follow-up to the Colorado quartet's twice-platinum debut album was produced by Aaron Johnson and Mike Flynn.","The Fray","7.2",79524,"3OPVsn0Dk3s8vWhXxnK35p","Live From Soho","How to Save a Life - Live in NYC - 2009",54,290266,false,0.54,0.294,10,-12.181,1,0.0323,0.775,0,0.708,0.204,119.134,4,"piano"
